x,y,color
734.4108337600187,138.37782576173677,1
745.4866513576704,176.1574942634137,1
752.4328624236226,143.94491874381575,1
750.5234335484462,156.847968751331,1
751.8154324336123,155.40338022236642,1
744.698557094379,178.72477700724153,1
741.3167558968546,179.76721210676791,1
746.183051263096,152.0789332011651,1
738.8131248423098,167.303485501795,1
760.6222999825033,152.75801787074798,1
739.9590773872136,176.6434629884087,1
692.5684320192236,174.14636723150693,1
718.8967900134043,185.38477036869673,1
709.3518882594492,161.0138188923016,1
700.6011408213376,155.55284389849018,1
727.1075792796369,192.33912352140868,1
701.1785836135615,166.03475880422133,1
729.7448745895877,176.46935443288933,1
695.8106516485005,162.19887141675554,1
705.4476509381205,186.03588714310374,1
706.9739383339768,181.75037006057812,1
650.0393237906567,214.71527219336292,1
656.8615623288416,202.51779913206457,1
658.6210265952005,181.84020548859274,1
640.2036142055545,196.52321892611167,1
647.1840644872216,179.90882937024566,1
642.3032448409516,208.1177014079179,1
675.0286760830347,204.79692577219086,1
642.1670082539364,194.48525623273954,1
665.7433700644219,202.95254607140782,1
669.072766123752,186.27375564621795,1
616.7041064184705,227.80348014338284,1
609.187103973043,234.598786202566,1
626.5551141054154,218.15739576672652,1
606.3201953580889,203.35450800278068,1
626.5619013940293,211.2199614422001,1
602.2402223818334,225.63518920228097,1
611.3757008431498,197.27513617888087,1
614.7494593653454,226.61402393469393,1
591.4320485557377,232.11721892825125,1
630.0205639355527,223.16910237444,1
544.9822179756153,248.9092850431108,1
556.8843920572533,232.05384453207915,1
554.4188817695709,238.93704079508058,1
549.5459928893257,237.26625546820205,1
555.7013244613237,252.0942543596625,1
527.3118076823081,239.3437135191316,1
553.3794862939643,227.75520939123487,1
530.6347232485456,244.52498415527182,1
546.2878990909539,227.30669823751361,1
556.5601960508671,240.2494395229439,1
490.7831895227482,283.87423431189154,1
475.19081432893563,261.924760897639,1
475.4354382157833,257.0676998011564,1
470.715159214043,277.75513611889915,1
489.9648908884585,282.67623158978313,1
507.9927608763587,264.3490220885953,1
504.28146714379676,278.6057347562511,1
480.62358552236697,273.45569794815736,1
480.61497032009015,258.73138823658496,1
481.0734384073685,285.5869182516389,1
447.583088585115,285.36506621380687,1
454.34365487609136,312.96773555354815,1
449.67794229414466,295.7308268183508,1
439.5700092706433,318.7662380760403,1
460.81597515817685,296.62839832762705,1
442.926215535188,283.6974895288831,1
457.22856470786587,305.7040466601817,1
434.2149780170035,315.24361819910183,1
454.2312013322087,290.6103432821763,1
460.4989602809448,310.3165379729753,1
388.0708387223169,340.09878339330515,1
388.5072775311182,323.6294487696066,1
386.5518327993229,317.47571358955906,1
408.2878837954448,329.7549657278041,1
390.74733130006854,333.15442017145403,1
418.9299470748704,309.3117501636146,1
418.63683940290446,336.58002135515864,1
404.7223628437372,323.7413578091689,1
388.5964717691641,324.3659820790221,1
408.83386668548934,318.8202156802557,1
344.9962744915525,354.5238044014556,1
363.9865295064869,338.8683414055144,1
347.85047600680264,349.9309652868784,1
345.3606234718504,340.69291946835256,1
363.0823283339714,355.2135552560422,1
376.4987402469169,334.44878261374123,1
373.3837711976558,354.9178488772579,1
353.53244140912227,337.99349731131196,1
351.3654795005198,335.08153745999977,1
346.21532306201385,336.22152683932524,1
311.7295128260371,369.6158074188539,1
316.5339329855287,345.54603970180665,1
329.9530589047559,355.83749368747846,1
313.1089972544964,355.8044626285942,1
340.38609602098103,372.82648008443107,1
342.8726667755697,374.9400349180579,1
342.83165067184814,377.85210020678943,1
321.7944497008924,368.4716939040506,1
315.4226581029683,354.49078803052646,1
346.64250108579944,345.4058436724822,1
317.0595575733622,377.8611139413152,1
298.02148532811486,371.63366147300815,1
286.91646126796564,382.1136539478045,1
281.07879670332375,370.9000081166653,1
295.61959662180567,386.7424563846315,1
313.1287411855192,374.05568724816123,1
317.59338487281263,370.1382836318982,1
314.98698499674884,378.2592154876557,1
313.4843479931124,374.0784517965744,1
308.78484480120545,378.67272956511124,1
278.60545806328173,371.1584862031214,1
268.26081567710446,382.6334939534807,1
265.544439782776,389.89657605652496,1
274.2897636577842,374.36361206389694,1
290.6873826595182,399.96213553268035,1
271.2477308634135,379.5128607987664,1
281.18784990241204,381.9065426752185,1
292.83726927198956,377.643922909901,1
284.893297804039,400.4947147044945,1
262.725979727479,365.2853618224073,1
271.38774395475514,364.78244844742585,1
261.775626546321,363.48652536529966,1
268.9745149498085,372.18594062083116,1
274.62437557128277,397.9164737623979,1
269.9924615578584,381.5492870446625,1
284.45895577423323,394.3496543363909,1
256.37282567509095,372.3139099873094,1
265.1795591045513,389.6953883231783,1
253.3619775251785,371.6057616206933,1
282.48506793569067,388.9817067251267,1
284.3712432682812,374.85343163523896,1
277.0971225688033,370.39750907796866,1
289.9512656233967,380.9329573484168,1
255.4406449650603,363.55930693510857,1
262.3901917418728,368.74029275794976,1
264.5934308678757,394.863916612978,1
267.65012177479775,395.40913944294505,1
265.26874569540024,401.16843551733314,1
278.3087492125295,376.7530168757085,1
253.84808739527816,380.16316617345876,1
293.2171757389961,362.0199296456912,1
295.05276023813497,383.17220276869847,1
324.982987122513,353.17336357728095,1
293.3855310002293,383.53189552797386,1
325.87250515759285,374.86636502559094,1
300.28955364578934,356.5601811907301,1
316.63600783642585,358.16173244121666,1
327.97580408887103,391.13842934000274,1
307.6136437661556,365.54746490657317,1
308.56672323853195,362.74191557947364,1
318.0006792744593,380.01791318741914,1
342.076378351073,350.9077913044985,1
344.0442887142835,373.59155166931754,1
314.8602052383426,352.6055226689496,1
326.1563157178615,370.62458822695737,1
353.8371575890995,361.91135791815003,1
353.13963278813316,351.87462494695865,1
332.4983488385105,379.785985452644,1
329.764970538639,366.6437767126911,1
326.62001102252106,363.6961484172504,1
347.34902872287137,342.9644730533673,1
341.37246501463375,368.15155834261054,1
339.82152729216045,341.9848905943042,1
348.7097064702958,341.08654412122377,1
347.377189625976,359.2916856875667,1
350.40235529631065,368.5975827226188,1
344.0196582199524,372.01166473881733,1
372.1881693065703,355.74269258825524,1
336.65360558915773,375.1762391269127,1
344.257942579411,343.57813644487226,1
366.8600393731056,346.95101815250825,1
371.08872844975184,333.09277533591535,1
367.29814172905765,357.27672944834165,1
384.4399244974328,337.91502876487147,1
383.58299898536717,344.5967551386645,1
389.6516152090593,327.35276941544834,1
362.0263353923448,339.066641334549,1
397.78197562472025,335.3124040481262,1
361.03014428147554,346.60601827283443,1
379.0901673193255,356.12367530077495,1
432.79987016603997,309.97330344737054,1
444.0056028463533,311.31334522339324,1
443.6950929312176,338.3300365067183,1
443.7450862860652,348.023533581857,1
440.7734230900406,319.7008274800287,1
418.7697390013202,308.7950877408771,1
411.5041817594795,342.36690218604394,1
422.9785662125355,344.5142341019367,1
413.6822309169474,338.3391625730763,1
432.0767508649225,329.12870290896115,1
480.25720771498555,301.28829606109434,1
483.5383698538962,308.1650089306292,1
469.8064347827685,314.4755104036115,1
469.8224366844981,295.0233350767794,1
474.1848466606974,306.10022396814173,1
458.27566709753177,305.7941616342879,1
464.24450913257715,312.8174394042931,1
483.35498206947227,323.45836757172583,1
477.09356579689484,299.530254317831,1
470.3100815332826,300.74710101685025,1
515.8433031262817,277.8692979281044,1
492.92291816934875,288.753244998922,1
516.2752041616774,305.03831760306116,1
490.6563726552358,288.64294049925934,1
510.22243772967335,297.56293829946367,1
526.1302871573482,312.21823924778727,1
491.29572746400146,298.4689006698085,1
525.9344099280314,283.2404004684116,1
517.2732647677169,313.8609488788431,1
521.4700111259332,294.41699295209764,1
545.090419684196,296.1997051293796,1
558.0139781001932,280.64969244888573,1
541.7289952748785,265.48387405193193,1
539.7919451936492,286.4985696119451,1
536.8921440559625,279.85972109177334,1
519.2287920288744,263.87272930656513,1
535.566773989879,277.14253854372333,1
529.5132120379748,290.79622407911836,1
525.861144747273,261.0407002071513,1
550.0144469577076,285.72036109472106,1
581.3873014127996,267.57768558292,1
566.0767557333426,251.09950878894114,1
546.7886665187838,261.3966308840002,1
553.8966971402907,251.6605656710621,1
565.2227051293364,265.0840120353282,1
557.7069231278526,258.0555878270378,1
560.7982944769171,280.81389493044,1
572.0249230695736,251.77632422034745,1
579.6212543020118,263.61041831853356,1
560.7820881880731,277.2238465637108,1
613.07227000879,236.67310772262513,1
586.6078442227473,235.32397278001596,1
590.608311683951,225.95399615045713,1
581.1538786397131,253.42346920472582,1
580.4159881426823,257.627814432698,1
581.9897164226795,245.70079634324927,1
583.0529355841438,256.80116279550975,1
614.0461774483053,248.5144469090684,1
584.4579470591242,244.94944287723717,1
581.5429370892209,255.63410097696172,1
635.750751201191,225.59467511182143,1
641.79209293925,218.77055580996958,1
617.0053411926539,242.39095337062412,1
616.9839873060359,220.94238597798358,1
617.1841213513355,207.95108498686056,1
609.6777991539388,227.87068648959243,1
615.6477446280702,238.94834004549753,1
646.8243116193615,247.10398854772393,1
645.3240685253089,234.78840351935608,1
637.628658499487,239.47898556230592,1
631.9679352876972,217.97618631444334,1
667.6648688868408,228.63217132660964,1
640.9133098370276,234.38583182386697,1
656.464182673899,225.00213358196925,1
663.1494538345169,228.62337566651797,1
639.4752699579386,211.4603027607175,1
631.1572290530388,222.03163235778342,1
643.7670723691961,210.99364099257383,1
652.191587914042,232.46740498770404,1
663.2505422049514,197.63987294622066,1
676.4347985844978,222.5236724509354,1
677.6440811175964,192.3265735871286,1
663.5303819633318,187.35732003967507,1
664.2895921113001,196.17764120927762,1
681.248617201579,219.32125339066246,1
694.2624890813107,219.78050461613708,1
667.1853930250963,207.88781893709694,1
683.7821997260821,204.1042409812097,1
679.6431319288613,209.94099079260988,1
686.2203513900952,224.14129166133637,1
708.1675304378152,178.11985712872593,1
684.4115497372808,196.12411283618306,1
692.1069831184708,180.6054636731469,1
689.4463874508976,182.7264643361358,1
718.019686436864,192.13229930255045,1
709.9207900899719,186.24447941547675,1
694.1965262046218,201.5809510889525,1
700.502819640622,185.37336748286978,1
689.2573214491814,208.76776768466192,1
721.8527915075356,203.95819144958165,1
702.7058409993325,199.73212956692004,1
705.3991008297515,174.33996703315302,1
740.8803869485904,191.5434862880133,1
719.0118612425637,198.33266180119472,1
718.0845578919004,179.50903352172182,1
718.2194627743229,205.70004849537116,1
